Income Level,Total population,Total citizen population,Reported registered,Reported not registered,No response,Reported voted,Reported not voted,No response to voting2,Reported registered Percent,Reported voted Percent
Total,"180,221","164,884","122,156","17,083","25,645","113,051","26,769","25,064",67.8,62.7
"Under $10,000","3,083","2,571","1,523",629,419,"1,212",997,362,49.4,39.3
"$10,000  -  $14,999","3,359","2,762","1,745",645,371,"1,392","1,011",358,52.0,41.5
"$15,000  -  $19,999","3,327","2,833","1,637",787,409,"1,412","1,048",374,49.2,42.4
"$20,000  -  $29,999","9,142","7,774","5,124","1,661",989,"4,357","2,475",942,56.0,47.7
"$30,000  -  $39,999","12,794","10,829","7,637","1,848","1,345","6,832","2,708","1,290",59.7,53.4
"$40,000  -  $49,999","9,948","8,637","6,616","1,182",838,"5,923","1,939",774,66.5,59.5
"$50,000  -  $74,999","25,741","23,430","18,412","2,814","2,204","16,875","4,474","2,082",71.5,65.6
"$75,000  -  $99,999","20,431","19,092","15,771","1,709","1,611","14,705","2,792","1,594",77.2,72.0
"$100,000  -  $149,999","24,215","23,125","19,691","1,653","1,782","18,626","2,729","1,771",81.3,76.9
"$150,000+","27,595","26,167","23,008","1,134","2,025","22,190","1,990","1,987",83.4,80.4
Income not reported,"40,586","37,664","20,992","3,021","13,650","19,527","4,607","13,530",51.7,48.1
